fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 032100	-0.994271752258355	1084	261	14	5	19420000	1
20220911 032124	-0.990681544475665	557	228	13	5	19702000	2
20220911 032146	-0.992296480944497	2284	623	14	5	18764000	3
20220911 032208	-0.994918110785511	1289	408	14	5	18810000	4
20220911 032229	-0.997076737751486	2394	1035	13	5	17522000	5
20220911 032252	-0.992822315432277	682	318	13	5	19186000	6
20220911 032315	-0.995138554110308	2110	40	13	5	18456000	7
20220911 032338	-0.998142255667917	1955	97	14	5	19114000	8
20220911 032400	-0.99561207408784	2394	1025	14	5	17944000	9
20220911 032422	-0.991437402030861	825	215	13	5	20570000	10
20220911 032444	-0.993834890735452	1251	585	13	5	18752000	11
20220911 032508	-0.996790008014068	500	151	14	5	19216000	12
20220911 032531	-0.998481145903643	1571	411	14	5	19036000	13
20220911 032553	-0.99044111602474	1788	415	13	5	19192000	14
20220911 032616	-0.997435638056292	1112	540	14	5	19340000	15
20220911 032637	-0.993046494335867	2201	1064	14	5	17604000	16
20220911 032703	-0.990703082961166	862	171	13	5	20426000	17
20220911 032729	-0.994799006134631	828	12	13	5	19222000	18
20220911 032754	-0.990593609761481	814	320	13	5	19676000	19
20220911 032820	-0.991512887963123	912	149	13	5	20680000	20
20220911 032846	-0.991493968471526	870	153	14	5	20650000	21
20220911 032912	-0.991563916824722	866	76	13	5	18330000	22
20220911 032937	-0.991760547254449	1073	179	13	5	19590000	23
20220911 033003	-0.99914052188303	2390	70	13	5	18728000	24
20220911 033029	-0.999767037227889	1527	416	14	5	19230000	25
20220911 033054	-0.991825199280453	1574	338	14	5	19386000	26
20220911 033126	-0.999225636579602	71	12	14	5	13452000	27
20220911 033151	-0.991485912483583	925	209	13	5	20890000	28
20220911 033216	-0.991400404041739	1258	174	13	5	20098000	29
20220911 033242	-0.991471297863405	1067	155	13	5	20032000	30
20220911 033308	-0.991507637053168	701	241	13	5	19412000	31
20220911 033333	-0.991494574612901	1025	132	13	5	19710000	32
20220911 033359	-0.9993475672502	2139	402	14	5	18908000	33
20220911 033424	-0.992148533793648	2206	264	14	5	19132000	34
20220911 033449	-0.997073388273294	1617	503	14	5	19888000	35
20220911 033514	-0.99884674033536	1774	829	14	5	18648000	36
20220911 033538	-0.991730690648601	2409	1196	14	5	17418000	37
20220911 033602	-0.993751304602401	2393	961	13	5	17686000	38
20220911 033627	-0.990065118275614	2325	384	13	5	18938000	39
20220911 033651	-0.998344703754043	1330	538	13	5	19904000	40
20220911 033717	-0.999741648954576	1795	534	14	5	19652000	41
20220911 033742	-0.993228237417336	1314	559	14	5	19264000	42
20220911 033806	-0.99251659977996	2132	1058	13	5	17480000	43
20220911 033832	-0.997198957405136	776	141	13	5	19508000	44
20220911 033857	-0.999188315596534	2437	369	13	5	18904000	45
20220911 033923	-0.997435637421713	1297	221	14	5	19914000	46
20220911 033949	-0.99151922665595	852	69	13	5	18844000	47
20220911 034015	-0.991484315057615	1067	307	13	5	19898000	48
20220911 034041	-0.991486237917532	405	104	13	5	18122000	49
20220911 034107	-0.991520769784709	1010	189	13	5	20256000	50
20220911 034136	-0.997073448305162	1439	248	14	5	19698000	51
20220911 034202	-0.991520820373521	1342	199	13	5	20190000	52
20220911 034227	-0.990015966372929	743	203	13	5	20090000	53
