fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 230509	-0.992923204166145	2874	1394	8	5	17722000	1
20220910 230526	-0.998795800062217	4648	1888	7	5	17138000	2
20220910 230543	-0.997372934071318	7955	3096	7	5	15736000	3
20220910 230601	-0.996201820700662	3259	337	8	5	19132000	4
20220910 230618	-0.994496499917877	5624	2771	7	5	17328000	5
20220910 230635	-0.992076654955745	4386	1205	8	5	17468000	6
20220910 230653	-0.999702624860511	6352	657	8	5	16814000	7
20220910 230709	-0.998137336566288	5100	2118	7	5	17320000	8
20220910 230726	-0.990856984712154	7279	244	7	5	15154000	9
20220910 230744	-0.999284890017339	6313	591	8	5	16814000	10
20220910 230801	-0.997453320794739	4954	521	7	5	17320000	11
20220910 230819	-0.996698415088933	950	390	8	5	19940000	12
20220910 230836	-0.991033342245035	4701	2293	7	5	16984000	13
20220910 230853	-0.994787861175369	7839	1056	7	5	15362000	14
20220910 230910	-0.992679781732149	7380	2516	7	5	15362000	15
20220910 230928	-0.998060992584797	3967	1410	8	5	17702000	16
20220910 230949	-0.99999096950242	1223	1	8	5	18654000	17
20220910 231009	-0.996060101502186	1022	1	8	5	19122000	18
20220910 231030	-0.995653049218648	1105	552	8	5	19294000	19
20220910 231052	-0.997347175735702	940	470	8	5	19962000	20
20220910 231113	-0.99748530085682	683	341	8	5	20906000	21
20220910 231135	-0.996634319086702	464	232	8	5	21064000	22
20220910 231155	-0.996242109344531	549	273	7	5	20638000	23
20220910 231222	-0.999836833940783	482	239	8	5	21432000	24
20220910 231247	-0.999991932508938	280	140	8	5	21056000	25
20220910 231308	-0.999988343408634	532	266	8	5	21646000	26
20220910 231329	-0.990018217065051	512	252	8	5	21638000	27
20220910 231351	-0.99001324689314	9	4	8	5	20616000	28
20220910 231412	-0.990004904821159	572	286	7	5	20748000	29
20220910 231434	-0.992028109049708	561	279	8	5	21446000	30
20220910 231456	-0.999998368607401	596	293	8	5	21572000	31
20220910 231522	-0.990011183082991	566	283	8	5	21594000	32
20220910 231544	-0.990002902522391	324	160	8	5	21240000	33
20220910 231605	-0.99000977041794	1774	877	7	5	18012000	34
20220910 231625	-0.999990823273228	2	1	7	5	18784000	35
20220910 231644	-0.99001655717783	3521	1	7	5	17064000	36
20220910 231706	-0.999981156922984	540	9	8	5	20546000	37
20220910 231725	-0.999987276048113	2535	511	7	5	19034000	38
20220910 231746	-0.999982795388209	3261	767	8	5	18940000	39
20220910 231807	-0.990046963393904	2331	3	8	5	18608000	40
20220910 231828	-0.990384058645496	7994	3997	8	5	16330000	41
20220910 231849	-0.999837845451863	2088	530	8	5	19602000	42
20220910 231910	-0.990001022824888	524	262	8	5	21448000	43
20220910 231933	-0.990234771638027	611	305	8	5	21040000	44
20220910 231954	-0.990085186411704	592	292	8	5	21572000	45
20220910 232016	-0.991936597809447	11	5	8	5	20548000	46
20220910 232038	-0.992195132051408	478	180	8	5	21610000	47
20220910 232059	-0.992119015870268	1490	117	8	5	20360000	48
20220910 232120	-0.992303951292347	626	312	8	5	21274000	49
20220910 232140	-0.996515905327483	12	4	8	5	20584000	50
20220910 232202	-0.99992672411931	685	341	8	5	20906000	51
20220910 232223	-0.999628315363008	477	236	8	5	21270000	52
20220910 232243	-0.997693058624991	777	7	8	5	20612000	53
20220910 232303	-0.997009061173923	275	15	8	5	20618000	54
20220910 232322	-0.99746137624944	2233	1	8	5	18204000	55
20220910 232344	-0.997840243806812	710	355	8	5	20802000	56
20220910 232405	-0.999988685623754	5176	2587	8	5	17226000	57
20220910 232425	-0.995948071694503	170	3	7	5	18864000	58
20220910 232445	-0.996330735936798	1561	780	7	5	18032000	59
20220910 232507	-0.990037809532316	1056	528	8	5	19736000	60
20220910 232532	-0.992160069065967	635	314	8	5	21264000	61
20220910 232553	-0.992075697811051	415	73	7	5	19964000	62
20220910 232615	-0.992320878846123	259	126	8	5	21214000	63
20220910 232635	-0.996685157909807	354	147	7	5	20938000	64
20220910 232656	-0.990048061859731	562	16	8	5	20910000	65
20220910 232718	-0.991721714393389	438	214	8	5	20956000	66
20220910 232739	-0.99764282469177	448	218	7	5	20478000	67
20220910 232759	-0.996999134144784	628	295	7	5	20750000	68
20220910 232821	-0.992594388785327	458	107	8	5	21066000	69
20220910 232842	-0.991883019577539	1018	9	8	5	20346000	70
20220910 232904	-0.990521086774097	238	119	8	5	20964000	71
20220910 232925	-0.999087492847481	437	218	8	5	2.1e+07	72
20220910 232946	-0.998459128124174	498	242	8	5	21436000	73
20220910 233008	-0.998189873011299	299	147	8	5	21148000	74
20220910 233029	-0.998660019772455	296	145	8	5	21150000	75
20220910 233049	-0.998460567657882	423	211	7	5	20488000	76
20220910 233110	-0.998750487478155	641	313	8	5	21264000	77
20220910 233130	-0.990004744706182	5475	2	8	5	15796000	78
20220910 233150	-0.990000280019459	6002	2086	8	5	17320000	79
20220910 233211	-0.992058750034023	376	185	8	5	21872000	80
20220910 233231	-0.992572979736669	1133	250	8	5	19912000	81
20220910 233253	-0.991010287109053	390	195	8	5	21346000	82
20220910 233314	-0.998478616985839	1049	524	8	5	19734000	83
20220910 233335	-0.991200330960549	126	63	8	5	20354000	84
20220910 233354	-0.990789921462796	409	197	7	5	20648000	85
20220910 233415	-0.997679887975907	3	1	8	5	18732000	86
20220910 233436	-0.992023691186899	367	1	8	5	18848000	87
20220910 233455	-0.998318803095711	1408	1	8	5	18382000	88
20220910 233516	-0.991898654540114	383	190	8	5	21660000	89
20220910 233541	-0.997689163167117	1610	438	8	5	19538000	90
20220910 233600	-0.991752950149149	3144	132	8	5	18862000	91
20220910 233620	-0.990385495694904	311	155	7	5	21044000	92
20220910 233641	-0.992909434124888	222	108	8	5	20956000	93
20220910 233701	-0.990775004876087	681	306	8	5	21204000	94
20220910 233744	-0.990905793076109	1455	1	8	5	18382000	96
20220910 233805	-0.99139096585114	35	16	7	5	19718000	97
20220910 233825	-0.999010090434137	642	294	7	5	20750000	98
20220910 233845	-0.998784639374576	2501	10	7	5	17872000	99
20220910 233905	-0.999364090999495	1180	589	7	5	18942000	100
20220910 233925	-0.997254015804699	1302	1	7	5	18554000	101
20220910 233946	-0.991756498437519	1317	650	7	5	18278000	102
20220910 234006	-0.998263796241927	1360	679	7	5	18130000	103
20220910 234028	-0.993508626166044	135	67	8	5	20332000	104
20220910 234050	-0.994151710990566	213	102	8	5	20756000	105
20220910 234112	-0.994701951411883	447	210	8	5	21126000	106
20220910 234153	-0.995066822179962	17	2	8	5	19746000	108
20220910 234213	-0.994673411619968	2958	2	8	5	18030000	109
20220910 234233	-0.992745758791333	19	3	7	5	18982000	110
20220910 234254	-0.994488056590011	36	3	8	5	20882000	111
20220910 234313	-0.992329108018295	4188	2	7	5	17062000	112
20220910 234333	-0.996397195346096	3891	73	7	5	17088000	113
20220910 234353	-0.995810498860112	3609	1602	8	5	17558000	114
20220910 234413	-0.999999193423048	7982	227	7	5	15154000	115
20220910 234433	-0.990525187700359	929	461	7	5	19520000	116
20220910 234454	-0.996436917794358	8000	124	8	5	15066000	117
20220910 234515	-0.99941679339047	2310	1153	8	5	17652000	118
20220910 234537	-0.993832987782826	696	346	8	5	20806000	119
20220910 234601	-0.993739804980733	5252	202	8	5	17112000	120
20220910 234622	-0.993793440930188	121	56	7	5	19208000	121
20220910 234643	-0.993355361035449	1441	717	7	5	18480000	122
20220910 234704	-0.994591525649828	347	172	7	5	20486000	123
20220910 234724	-0.994331495446412	2572	1	7	5	18120000	124
20220910 234745	-0.99510790551733	603	296	7	5	20586000	125
20220910 234806	-0.994806090831028	1186	591	7	5	18942000	126
20220910 234826	-0.997956280917117	7975	3985	8	5	16330000	127
20220910 234848	-0.993205843372382	6516	3255	8	5	15840000	128
20220910 234908	-0.999993863089451	7997	3998	7	5	16330000	129
20220910 234928	-0.995525614231432	874	423	7	5	20104000	130
20220910 234948	-0.990002791555525	7988	3994	7	5	16330000	131
20220910 235009	-0.993933156230007	2865	1429	8	5	17642000	132
20220910 235030	-0.999197710569435	16	2	7	5	19160000	133
20220910 235050	-0.995276608091702	2337	11	7	5	18460000	134
20220910 235111	-0.995402962797986	7994	3997	8	5	16330000	135
20220910 235131	-0.995431755464807	7999	3999	7	5	16330000	136
20220910 235153	-0.99804714953144	749	248	8	5	21512000	137
20220910 235214	-0.999998862277435	3013	1504	7	5	17610000	138
20220910 235235	-0.996752077686479	940	380	7	5	19948000	139
20220910 235256	-0.996997740504761	5206	2602	8	5	17226000	140
20220910 235317	-0.990031882819482	318	16	7	5	19566000	141
20220910 235337	-0.991427943663797	7998	2360	8	5	15362000	142
20220910 235402	-0.995070839486671	1803	889	8	5	17978000	143
