fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 023002	-0.995882492515407	1083	239	13	5	19466000	103
20220911 023028	-0.997465787851775	844	229	13	5	20480000	104
20220911 023057	-0.99897575965993	552	212	13	5	19624000	105
20220911 023121	-0.996315780045524	4485	815	13	5	17130000	106
20220911 023148	-0.998163729182436	612	221	13	5	19810000	107
20220911 023217	-0.999993075030128	467	1	13	5	19558000	108
20220911 023243	-0.990001635766228	7698	547	13	5	15362000	109
20220911 023309	-0.996380666026385	902	243	13	5	20288000	110
20220911 023336	-0.999997654359502	912	454	13	5	18874000	111
20220911 023400	-0.990004325292082	2691	1344	13	5	17464000	112
20220911 023425	-0.999996170560366	4634	260	13	5	16770000	113
20220911 023448	-0.999999865002445	4967	2477	13	5	17226000	114
20220911 023512	-0.990005347717222	5075	2537	13	5	17226000	115
20220911 023534	-0.990008576010316	7473	3730	13	5	16354000	116
20220911 023558	-0.99597799737617	4289	2144	14	5	17570000	117
20220911 023619	-0.997323935315531	7998	2048	14	5	15362000	118
20220911 023650	-0.997252217451794	933	213	13	5	20746000	119
20220911 023713	-0.994978207887815	5208	2600	13	5	17226000	120
20220911 023740	-0.994154270089359	829	2	13	5	20520000	121
20220911 023807	-0.993921115856119	888	264	13	5	20166000	122
20220911 023833	-0.993625130262748	576	1	13	5	19938000	123
20220911 023900	-0.994609094405488	770	181	13	5	20412000	124
20220911 023924	-0.990002475871238	3810	897	14	5	18388000	125
20220911 023948	-0.990000093050623	7611	479	14	5	15362000	126
20220911 024012	-0.990002867966009	3388	1689	14	5	17576000	127
20220911 024037	-0.991485992029014	3496	1016	14	5	18514000	128
20220911 024102	-0.994328712276835	1992	644	13	5	18764000	129
20220911 024129	-0.994410208762701	344	36	13	5	17468000	130
20220911 024155	-0.994589079730083	1982	247	13	5	19348000	131
20220911 024222	-0.99405176987067	1097	46	13	5	19724000	132
20220911 024248	-0.994149034666869	790	369	13	5	19524000	133
20220911 024316	-0.997337985706502	625	306	13	5	19864000	134
20220911 024342	-0.994721024954247	489	203	13	5	19180000	135
20220911 024404	-0.999988710589877	7995	3996	14	5	16330000	136
20220911 024427	-0.990003721393874	5392	2687	14	5	17284000	137
20220911 024448	-0.990003195917837	8000	3991	14	5	16330000	138
20220911 024514	-0.993809351858184	764	6	13	5	20120000	139
20220911 024536	-0.993973857937995	7998	3998	13	5	16330000	140
20220911 024558	-0.999999355967079	8000	3995	13	5	16330000	141
20220911 024627	-0.990007929445479	1200	593	14	5	18820000	142
20220911 024658	-0.997232344400225	861	5	13	5	20714000	143
20220911 024724	-0.990002146197831	3224	1	14	5	16654000	144
20220911 024747	-0.999997097864727	7998	797	13	5	15362000	145
20220911 024810	-0.992212718925906	6162	3081	13	5	16890000	146
20220911 024835	-0.993721334054946	1295	410	13	5	18810000	147
20220911 024857	-0.999996534237579	6120	3057	14	5	17104000	148
20220911 024923	-0.997438456315202	1512	3	13	5	18774000	149
20220911 024948	-0.992665479278257	2936	552	14	5	18274000	150
20220911 025013	-0.993371454273909	3670	1831	14	5	17576000	151
20220911 025035	-0.994189660469053	5246	2619	14	5	17226000	152
20220911 025057	-0.999998542970909	5624	1818	14	5	17320000	153
20220911 025123	-0.997533572617321	974	466	13	5	19112000	154
20220911 025143	-0.999992110742381	7999	2876	13	5	15472000	155
20220911 025205	-0.990000922671786	8000	2834	13	5	15472000	156
